Rank,State,"Total Energy Consumed per Capita, million Btu"
1,LA,960
2,WY,885
3,ND,836
4,AK,822
5,IA,496
6,TX,472
7,NE,457
8,SD,441
9,OK,418
10,WV,416
11,IN,406
12,MT,399
13,MS,394
14,AL,390
15,KY,372
16,KS,369
17,AR,352
18,MN,329
19,SC,327
20,NM,327
21,TN,323
22,ID,322
23,OH,312
24,WI,312
25,IL,303
26,PA,298
27,ME,294
28,MO,283
29,WA,282
30,DE,282
31,MI,278
32,VA,272
33,GA,269
34,UT,267
35,CO,261
36,OR,249
37,NC,244
38,DC,241
39,NJ,240
40,NV,238
41,NH,235
42,MD,218
43,VT,216
44,AZ,209
45,MA,208
46,CT,203
47,FL,201
48,CA,200
49,HI,199
50,NY,188
51,RI,174
